Título_Título,Console Original_Console Original,Lanç. Original_Lanç. Original,Lançamento_Lançamento,Tamanho_Tamanho,Ref._Ref.
Alex Kidd in Miracle World,Master System,1986,27/Mar/2019,180 MB,[3477]
Columns II: A Voyage Through Time,Arcade,1990,17/Out/2019,106 MB,[3478]
Fantasy Zone,Arcade,1986,23/Jan/2020,81 MB,[3479]
G-LOC: Air Battle,Mega Drive,1990,30/Abr/2020,213 MB,[3480]
Gain Ground,Arcade,1984,27/Mar/2019,96 MB,[3481]
Herzog Zwei,Mega Drive,1989,24/Set/2020,180 MB,[3482]
Ichidant-R,Arcade,1994,17/Out/2019,97 MB,[3483]
Lightening Force: Quest for the Darkstar,Mega Drive,1992,19/Set/2018,57 MB,[3484]
Out Run,Arcade,1986,09/Jan/2019,110 MB,[3485]
Phantasy Star,Master System,1987,12/Dez/2018,106 MB,[3486]
Puyo Puyo,Arcade,1991,22/Ago/2019,96 MB,[3487]
Puyo Puyo 2,Arcade,1992,20/Fev/2020,97 MB,[3488]
Shinobi,Arcade,1987,23/Jan/2020,72 MB,[3489]
Sonic the Hedgehog,Mega Drive,1991,19/Set/2018,52 MB,[3490]
Sonic the Hedgehog 2,Mega Drive,1992,20/Fev/2020,62 MB,[3491]
Space Harrier,Arcade,1985,22/Ago/2019,86 MB,[3492]
Thunder Force AC,Arcade,1990,28/Mai/2020,76 MB,[3493]
Virtua Racing,Arcade,1992,27/Jun/2019,196 MB,[3494]
Wonder Boy,Arcade,1986,27/Jun/2019,87 MB,[3495]
